Unnamed: 0,Keertana Finserv Private Limited ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,Portfolio Cuts as on 31st Jan 2024,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Branchwise,,,,,,,,,,,,,,,,,,,
,SN,Branch Code,Branch Name,District,State,Number of Loans,"Total Principal Outstanding 
(In Crs)",Principal without overdues (In Crs),No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30,31-60,61-90,91-120,121-150,151-180,181-365,>365
,85,APKL0238,Hindupur_2,Sri Sathya Sai,Andhra Pradesh,1030,6.2967735,6.2967735,0,0,0,0,0,0,0,0,0,0,0,0
,86,APMP0129,Hindupur_LH,Sri Sathya Sai,Andhra Pradesh,584,4.31085521400001,4.26421987300001,7,0,0,0.046635341000000004,0.008760867,0.026814515000000004,0.011059959,0,0,0,0,0
,87,ORJLG0336,Jagannath Prasad_JLG,Ganjam,Orissa,60,0.3130656,0.3130656,0,0,0,0,0,0,0,0,0,0,0,0
,88,APJLG0203,Jaggaiahpet_JLG,NTR,Andhra Pradesh,2891,12.7455643219999,12.7455643219999,0,0,0,0,0,0,0,0,0,0,0,0
,89,APMP0098,Kadiyam_LH(Rajahmundry),East Godavari,Andhra Pradesh,443,4.529517577,4.50559538,5,0,0,0.023922197,0.008243753999999999,0.0014,0.00456936,0,0,0.009709083,0,0
,90,APKL0025,Kothapeta_KL,Guntur,Andhra Pradesh,1275,5.793906335,5.793906335,0,0,0,0,0,0,0,0,0,0,0,0
,91,APKL0134,Akkayyapalem_KL,Visakhapatnam,Andhra Pradesh,268,0.9649734,0.9649734,0,0,0,0,0,0,0,0,0,0,0,0
,92,APKL0063,Amaravathi_KL,Palnadu,Andhra Pradesh,626,2.0672961,2.0672961,0,0,0,0,0,0,0,0,0,0,0,0
,93,APMP0157,Anakapalle_LH,Anakapalle,Andhra Pradesh,150,1.7893359780000002,1.7893359780000002,0,0,0,0,0,0,0,0,0,0,0,0
,94,APKL0174,Anakapalli_KL,Anakapalle,Andhra Pradesh,365,1.6576033,1.6576033,0,0,0,0,0,0,0,0,0,0,0,0
