Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Portfolio Cuts as on 30 Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days
97,APJLG0228,Cherukupalli_JLG,Bapatla,Andhra Pradesh,rural,2537,6.2461430049999995,6.107838726,58,0,0,0.138304279,0.072037388,0.011264442999999999,0.016508603,0.008561277,0.01504909,0.007610271000000001,0.007273207,0,0.138304279,0.022142349108768125,0.038493845,0.006162818393556777
98,APKL0026,Chilakaluripet_KL,Palnadu,Andhra Pradesh,Rural,2630,10.7932771,10.7932771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,APJLG0286,Chintalapudi_JLG,Eluru,Andhra Pradesh,Rural,2176,9.06617072099999,8.88964621699999,41,0,0,0.176524504,0.172508541,0.004015963,0,0,0,0,0,0,0.176524504,0.019470679455783457,0,0
100,APJLG0272,Chodavaram_JLG,Anakapalle,Andhra Pradesh,Rural,1701,7.42668802700001,7.42668802700001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,APMP0248,Cumbum_LH,Prakasam,Andhra Pradesh,Rural,252,3.481365876,3.481365876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,APKL0046,Darsi_KL,Prakasam,Andhra Pradesh,Rural,1215,6.5210829,6.5188888,2,0,0,0.0021941,0,0.0021941,0,0,0,0,0,0,0.0021941,0.00033646252219857533,0,0
103,APKL0175,Gajuwaka_KL,Visakhapatnam,Andhra Pradesh,Urban,833,5.0548312,5.0548312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,APKL0213,Gopalapatnam_KL,Visakhapatnam,Andhra Pradesh,Rural,859,6.9936483,6.9936483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,APKL0068,Hindupur_KL,Sri Sathya Sai,Andhra Pradesh,Rural,2048,10.2610855,10.2610855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,ORJLG0334,Hinjilicut_JLG,Ganjam,Orissa,Rural,1104,5.3512355599999895,5.3512355599999895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
