Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Portfolio Cuts as on 30 Apr 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch,District,State,Branch Classification Rural / Urban,Number of ActiveLoans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Written off value in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,,
,Total,346069,1747.7588216905858,1743.996648636586,659,0,0,3.762173054,1.553772261,0.580220757,0.743416734,0.365706337,0.295028307,0.08726603299999999,0.10002161700000001,0.036741008,3.762173054,0.0021525699125700282,0.884763302,0.0005062273415643121,,,,,,
JLG Loans are more in number and they have 26% yield as such 26% yield loans have higher PAR,,0,-2.9558577807620168e-12,-2.7284841053187847e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.903127820947816e-18,0,8.673617379884035e-19,,,,,,
Loan utilisation category-wise break-up,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Category,Number of ActiveLoans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,,,,,,
1,Consumption,116832,736.5700723079,736.2516384429,33,0,0,0.31843386500000004,0.132502601,0.10591668300000001,0.01523539,0.0055629139999999995,0.009611617,0,0.034972231,0.014632429,0.31843386500000004,0.0004323198524781886,0.064779191,8.794708532893133e-05,,,,,,
2,Agri & Allied,140226,594.900853864696,593.5866959136961,291,0,0,1.314157951,0.512486642,0.21493614500000002,0.340221159,0.105324644,0.038015018,0.070892248,0.021317881,0.010964214,1.314157951,0.0022090369218042702,0.24651400499999998,0.0004143783008522408,,,,,,
3,Manufacturing,35395,159.77541723199997,158.93549145999998,145,0,0,0.839925772,0.4433902739999999,0.110264556,0.127569467,0.09106401199999999,0.050699467,0.008906066,0.00803193,0,0.839925772,0.005256914903125528,0.15870147499999995,0.0009932784263649232,,,,,,
4,Home Assets,19435,123.420124203,122.571808667,85,0,0,0.8483155360000001,0.288835427,0.078122186,0.176984362,0.111139677,0.16163660700000002,0.00456936,0.015883552,0.011144365,0.8483155360000001,0.006873397199023236,0.30437356100000007,0.0024661582782024264,,,,,,
5,Services,23117,82.7760233569997,82.5118949799997,72,0,0,0.264128377,0.12410102199999999,0.039606298,0.045838895000000004,0.034201432000000004,0.013466445,0.002898359,0.004015926,0,0.264128377,0.0031908802366701857,0.05458216200000001,0.0006593957982808127,,,,,,
